dish_name,ingredients,instructions
"BBQ Chicken Wings","chicken wings, BBQ sauce, garlic, salt, pepper","Marinate wings. Bake or grill while brushing with BBQ sauce."
"Ramen","ramen noodles, broth, boiled egg, green onion, soy sauce","Cook noodles in broth. Add egg and soy sauce. Garnish with green onions."
"Mango Smoothie","mango, yogurt, milk, honey, ice","Blend mango with yogurt, milk, and honey until smooth. Serve cold."
"Egg Salad","eggs, mayonnaise, mustard, salt, pepper","Boil and chop eggs. Mix with mayo, mustard, salt, and pepper."
"Tiramisu","ladyfingers, mascarpone, coffee, cocoa powder, sugar","Layer soaked ladyfingers with mascarpone cream. Dust with cocoa powder. Chill and serve."
"Shrimp Scampi","shrimp, garlic, butter, lemon juice, spaghetti","Sauté garlic in butter. Add shrimp and lemon juice. Toss with cooked spaghetti."
"Falafel Wrap","falafel, pita bread, lettuce, tomato, tahini sauce","Place falafel in pita. Add veggies and drizzle tahini sauce."
"Peanut Butter Cookies","peanut butter, sugar, eggs, baking soda","Mix ingredients. Shape into cookies and bake until golden."
"Eggplant Parmesan","eggplant, marinara sauce, mozzarella, parmesan, breadcrumbs","Bread and fry eggplant. Layer with sauce and cheese. Bake until bubbly."
"Shepherd’s Pie","ground lamb, mashed potatoes, peas, carrots, onion","Cook meat with vegetables. Top with mashed potatoes. Bake until golden."
"Apple Pie","apples, flour, butter, sugar, cinnamon","Make filling with apples and cinnamon. Place in crust and bake until golden."
"Chicken Nuggets","chicken breast, flour, egg, breadcrumbs, salt","Coat chicken in flour, egg, and breadcrumbs. Fry until golden brown."
"Zucchini Fritters","zucchini, flour, egg, garlic, salt, pepper","Grate zucchini and mix with ingredients. Fry spoonfuls in oil until crisp."
"Beef Stroganoff","beef, onion, mushroom, sour cream, egg noodles","Sauté beef and veggies. Stir in sour cream. Serve over cooked noodles."
"Berry Parfait","yogurt, berries, granola, honey","Layer yogurt with berries and granola. Drizzle honey on top."
"French Crepes","flour, milk, eggs, sugar, butter","Whisk ingredients. Cook thin crepes in buttered pan. Fill as desired."
"Tofu Stir Fry","tofu, vegetables, soy sauce, garlic, ginger, oil","Cook tofu until golden. Stir-fry with veggies and sauce."
"Chana Masala","chickpeas, tomato, onion, garlic, ginger, spices","Sauté onion, garlic, and ginger. Add tomatoes and spices. Stir in chickpeas and simmer."
